path,duration,text,gender,age-group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain,duration
out_wavs/00000000.wav,8.759,"Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.","Female","18-30","Kannada","Karnataka","Hassan","Post Graduate","Full Time","Technology and Services","8.7595"
out_wavs/00000001.wav,3.100,"There is a gradual shift in the mentality","Female","30-45","Kannada","Karnataka","Gulbarga","Post Graduate","Full Time","Technology and Services","3.1000625"
out_wavs/00000002.wav,0.450,"Wow","Female","18-30","Dogri","Jammu Kashmir","Jammu","Graduate","Other","Education and Research","0.4500625"
out_wavs/00000003.wav,2.721,"Nipah virus belongs to  the","Female","45-60","Maithili","Bihar","Darbhanga","Graduate","Full Time","Education and Research","2.721125"
out_wavs/00000004.wav,3.694,"How much money is left in my Arunachal Pradesh Rural Bank account?","Male","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Full Time","Education and Research","3.6943125"
out_wavs/00000005.wav,8.510,"Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.","Female","30-45","Bengali","West Bengal","Kolkata","Post Graduate","Part Time","Education and Research","8.5104375"
out_wavs/00000006.wav,1.733,"There are many big rivers","Male","45-60","Bodo","Assam","Udalguri","Doctoral (PhD) or higher level","Freelance","Education and Research","1.7331875"
out_wavs/00000007.wav,3.950,"where it is joined by other branches to form the Brahmaputra","Male","30-45","Bodo","Assam","Kokrajhar","Post Graduate","Other","Education and Research","3.9504375"
out_wavs/00000008.wav,7.960,"There have been many attempts recently to make sure that the people maintain their","Female","18-30","Malayalam","Kerala","Pathanamthitta","Post Graduate","Full Time","Education and Research","7.96"
out_wavs/00000009.wav,3.949,"Jammu, Samba, Kathua, Rajouri, Poonch","Female","18-30","Dogri","Jammu Kashmir","Jammu","Under Graduate Student","Other","Education and Research","3.949"
out_wavs/00000010.wav,5.480,"Among the poets, I remember William Wordsworth, T.S.","Male","45-60","Kannada","Karnataka","Shimoga","Post Graduate","Other","Manufacturing","5.48"
out_wavs/00000011.wav,6.109,"What are the main social welfare and development programs and initiatives in your district?","Female","30-45","Assamese","Assam","Biswanath","Doctoral (PhD) or higher level","Full Time","Information and Media","6.1086875"
out_wavs/00000012.wav,2.535,"normal competitions what we have.","Female","18-30","Marathi","Maharashtra","Ratnagiri","Graduate","Part Time","Social service","2.5345625"
out_wavs/00000013.wav,3.865,"what is an usual word and what is unusual words and phrases","Female","60+","Odia","Odisha","Angul","Post Graduate","Full Time","Social service","3.865125"
out_wavs/00000014.wav,11.120,"see this track as my professionalism but I used to manage some time in writing as my","Male","18-30","Nepali","West Bengal","Kalimpong","Post Graduate","Part Time","Social service","11.12"
out_wavs/00000015.wav,1.435,"Can you speak 5 numbers","Male","30-45","Malayalam","Kerala","Palakkad","Post Graduate","Full Time","Technology and Services","1.4345"
out_wavs/00000016.wav,3.842,"Will I be able to pay using UPI apps on Hotstar website?","Male","18-30","Nepali","West Bengal","Kalimpong","Post Graduate","Part Time","Social service","3.8423125"
out_wavs/00000017.wav,0.968,"Backward","Female","30-45","Nepali","West Bengal","Kalimpong","Post Graduate","Full Time","Education and Research","0.9681875"
out_wavs/00000018.wav,1.897,"define the word absolute","Male","30-45","Malayalam","Kerala","Palakkad","Post Graduate","Full Time","Technology and Services","1.8966875"
out_wavs/00000019.wav,7.989,"Meghalaya is one of the less developed or underdeveloped states in northeastern India.","Male","45-60","Nepali","Meghalaya","Ri Bhoi","Post Graduate","Full Time","Education and Research","7.9886875"
out_wavs/00000020.wav,12.104,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.","Female","18-30","Konkani","Goa","South Goa","Post Graduate","Full Time","Government","12.1041875"
out_wavs/00000021.wav,13.541,"it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.","Female","45-60","Hindi","West Bengal","Kolkata","Post Graduate","Full Time","Education and Research","13.5411875"
out_wavs/00000022.wav,25.490,"it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds","Male","30-45","Urdu","Gujarat","Ahmedabad","Graduate","Full Time","Technology and Services","25.48975"
out_wavs/00000023.wav,14.103,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier","Female","18-30","Odia","Odisha","Khordha","Post Graduate","Full Time","Transportation and Logistics","14.1029375"
out_wavs/00000024.wav,12.181,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.","Male","60+","Punjabi","Punjab","Rupnagar","Graduate","Other","Government","12.1811875"
out_wavs/00000025.wav,4.480,"So these are some of the features of Mithila cooking.","Male","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Full Time","Education and Research","4.48"
out_wavs/00000026.wav,14.646,"English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.","Male","60+","Konkani","Goa","North Goa","Graduate","Full Time","Financial Services (Banking and Insurance)","14.646375"
out_wavs/00000027.wav,0.524,"Play","Male","30-45","Punjabi","Punjab","Mansa","Post Graduate","Full Time","Government","0.5244375"
out_wavs/00000028.wav,0.680,"Visual","Male","45-60","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Full Time","Education and Research","0.679625"
out_wavs/00000029.wav,8.083,"And also, people speaking English have different accents in different regions.","Female","18-30","Tamil","Kerala","Thiruvananthapuram","Under Graduate Student","Full Time","Technology and Services","8.0826875"
out_wavs/00000030.wav,7.000,"Education, Health, Care, Poverty, Reduction, Women's Empowerment","Male","30-45","Punjabi","Punjab","Mansa","Post Graduate","Full Time","Government","7.0"
out_wavs/00000031.wav,1.485,"source language","Male","60+","Marathi","Maharashtra","Solapur","Graduate","Full Time","Healthcare (Medical &amp; Pharma)","1.484875"
out_wavs/00000032.wav,1.096,"trains,","Female","45-60","Telugu","Andhra Pradesh","Krishna","Graduate","Part Time","Technology and Services","1.0956875"
out_wavs/00000033.wav,0.395,"Cat","Male","30-45","Assamese","Assam","Nagaon","Post Graduate","Full Time","Education and Research","0.395"
out_wavs/00000034.wav,5.087,"Through poetry, I can put my thoughts on a display more creatively.","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","5.0868125"
out_wavs/00000035.wav,1.547,"The main food of","Female","18-30","Malayalam","Kerala","Pathanamthitta","Post Graduate","Full Time","Technology and Services","1.5471875"
out_wavs/00000036.wav,10.134,"who is physically challenged or disordered in real life but with the guts and a great contribution in the literature","Male","18-30","Nepali","West Bengal","Kalimpong","Post Graduate","Part Time","Social service","10.13425"
out_wavs/00000037.wav,3.909,"our local traditions and beliefs by giving an opportunity","Male","18-30","Kannada","Karnataka","Bangalore Urban","Graduate","Part Time","Information and Media","3.9085"
out_wavs/00000038.wav,7.096,"Are there any vaccination centres available in South Goa district for age group 18+ years","Female","45-60","Nepali","Assam","Kamrup","Graduate","Full Time","Education and Research","7.0956875"
out_wavs/00000039.wav,9.543,"hang on the rock. I find it useful and best because it helps me that we climb faster.","Female","30-45","Marathi","Maharashtra","Pune","Post Graduate","Full Time","Education and Research","9.5431875"
out_wavs/00000040.wav,9.697,"Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years","Female","18-30","Hindi","Rajasthan","Ajmer","Under Graduate Student","Other","Education and Research","9.697"
out_wavs/00000041.wav,5.000,"and they went off into the space when earth was burning up or being destroyed","Female","45-60","Telugu","Odisha","Sambalpur","Graduate","Full Time","Education and Research","5.0"
out_wavs/00000042.wav,1.480,"that I came here.","Female","45-60","Telugu","Andhra Pradesh","Guntur","Post Graduate","Full Time","Education and Research","1.48"
out_wavs/00000043.wav,3.341,"send a complaint to consumer service of this company","Male","45-60","Urdu","Gujarat","Ahmedabad","Diploma Holder","Other","Government","3.3408125"
out_wavs/00000044.wav,6.550,"In the university, I learned the technicalities of language since I am a linguistics student.","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","6.55"
out_wavs/00000045.wav,11.120,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,","Female","18-30","Malayalam","Kerala","Pathanamthitta","Post Graduate","Full Time","Education and Research","11.12"
out_wavs/00000046.wav,6.831,"Book a HP gas cylinder using my registered contact number 79083174897","Male","60+","Bengali","West Bengal","South 24 Parganas","Post Graduate","Other","Financial Services (Banking and Insurance)","6.8309375"
out_wavs/00000047.wav,11.432,"English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","11.43175"
out_wavs/00000048.wav,2.900,"the colleges of art literature","Female","45-60","Urdu","Maharashtra","Satara","Post Graduate","Full Time","Education and Research","2.89975"
out_wavs/00000049.wav,8.458,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift","Female","18-30","Tamil","Kerala","Thiruvananthapuram","Under Graduate Student","Full Time","Technology and Services","8.458125"
out_wavs/00000050.wav,3.041,"Show my DTH bill readings from the last 6 months.","Male","18-30","Bengali","West Bengal","Kolkata","Doctoral (PhD) or higher level","Full Time","Education and Research","3.0410625"
out_wavs/00000051.wav,12.473,"And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well","Male","18-30","Gujarati","Gujarat","Sabarkantha","Post Graduate","Full Time","Information and Media","12.4730625"
out_wavs/00000052.wav,1.240,"to everybody.","Female","18-30","Marathi","Maharashtra","Ratnagiri","Graduate","Part Time","Social service","1.24"
out_wavs/00000053.wav,14.365,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","Female","30-45","Gujarati","Gujarat","Amreli","Post Graduate","Freelance","Education and Research","14.36525"
out_wavs/00000054.wav,5.040,"how difficult their lives are, what all circumstances they go through,","Female","18-30","Konkani","Goa","South Goa","Post Graduate","Full Time","Government","5.04"
out_wavs/00000055.wav,9.224,"You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal","Female","45-60","Telugu","Andhra Pradesh","Krishna","Graduate","Part Time","Technology and Services","9.2244375"
out_wavs/00000056.wav,2.939,"List all items from Pet food items.","Male","30-45","Urdu","Gujarat","Ahmedabad","Graduate","Full Time","Technology and Services","2.938875"
out_wavs/00000057.wav,4.236,"What is your favorite painting style or technique and why?","Female","45-60","Telugu","Andhra Pradesh","Krishna","Graduate","Part Time","Technology and Services","4.2363125"
out_wavs/00000058.wav,2.589,"show me what day the thirty first is on","Male","45-60","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Full Time","Education and Research","2.589375"
out_wavs/00000059.wav,7.304,"Are there any vaccination centres available in Bhandara district for age group 15-17 years","Female","18-30","Odia","Odisha","Khordha","Post Graduate","Full Time","Transportation and Logistics","7.303625"
out_wavs/00000060.wav,6.487,"whereby humans are entrusted with the safe keeping of earth and its variety of life.","Male","30-45","Urdu","Gujarat","Ahmedabad","Graduate","Full Time","Technology and Services","6.486625"
out_wavs/00000061.wav,8.931,"It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.","Female","30-45","Malayalam","Kerala","Pathanamthitta","Post Graduate","Other","Financial Services (Banking and Insurance)","8.9308125"
out_wavs/00000062.wav,6.796,"The intricate yet beautiful floral motifs on paper mashi products are in","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","6.7960625"
out_wavs/00000063.wav,6.560,"So there are a lot of beaches throughout the eastern coastline of Odisha.","Male","18-30","Odia","Odisha","Sundergarh","Post Graduate","Full Time","Education and Research","6.56"
out_wavs/00000064.wav,8.425,"and after that we celebrate Chaitra Dasai and after that we celebrate Dasai","Female","18-30","Nepali","West Bengal","Darjeeling","Post Graduate","Other","Entertainment","8.42525"
out_wavs/00000065.wav,1.427,"I use some words","Female","45-60","Maithili","Bihar","Darbhanga","Graduate","Full Time","Education and Research","1.427"
out_wavs/00000066.wav,6.120,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu.","Female","30-45","Urdu","Karnataka","Bangalore Urban","Post Graduate","Part Time","Education and Research","6.12"
out_wavs/00000067.wav,4.934,"Biodiversity actually plays a very important role in my garden","Female","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Freelance","Information and Media","4.933625"
out_wavs/00000068.wav,4.150,"with the leading newspapers such as Bangalore Mirror","Female","30-45","Kannada","Karnataka","Gulbarga","Post Graduate","Full Time","Technology and Services","4.14975"
out_wavs/00000069.wav,1.990,"when was dev anand born","Male","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Full Time","Education and Research","1.99025"
out_wavs/00000070.wav,17.750,"And Taruah is something in which any vegetable is fried or some of the leaves like there is one leaf called known as Tilkor.","Male","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Full Time","Education and Research","17.75"
out_wavs/00000071.wav,4.824,"end of the year which are a source of great joy and fun, especially for the kids.","Female","18-30","Punjabi","Punjab","Patiala","Post Graduate","Full Time","Education and Research","4.8235"
out_wavs/00000072.wav,5.027,"The government of Goa and the tourism department must promote these places","Male","18-30","Konkani","Goa","South Goa","Post Graduate","Full Time","Technology and Services","5.0270625"
out_wavs/00000073.wav,0.234,"Up","Female","45-60","Urdu","Maharashtra","Satara","Post Graduate","Full Time","Education and Research","0.2343125"
out_wavs/00000074.wav,2.901,"like the physical practice of yoga","Male","30-45","Sindhi","Rajasthan","Ajmer","Post Graduate","Part Time","Government","2.901125"
out_wavs/00000075.wav,0.403,"Three","Female","45-60","Tamil","Tamil Nadu","Chennai","Post Graduate","Full Time","Technology and Services","0.402625"
out_wavs/00000076.wav,0.377,"Stop","Male","60+","Odia","Odisha","Sundergarh","Graduate","Freelance","Education and Research","0.3774375"
out_wavs/00000077.wav,3.779,"Further, undue influence rarely occurs on its own.","Female","60+","Odia","Odisha","Angul","Post Graduate","Full Time","Social service","3.779125"
out_wavs/00000078.wav,1.325,"and","Male","18-30","Odia","Odisha","Sundergarh","Post Graduate","Full Time","Education and Research","1.324625"
out_wavs/00000079.wav,13.857,"mint tea is a very great refreshing drink and this vandalaga and dodapathre can be used in preparation of a regional delicacy called one thambuli","Female","18-30","Kannada","Karnataka","Hassan","Post Graduate","Full Time","Technology and Services","13.8574375"
out_wavs/00000080.wav,5.593,"Again, Dayanand was well received and the Rajkot group elected to join his cause.","Male","30-45","Konkani","Goa","North Goa","Post Graduate","Full Time","Education and Research","5.593125"
out_wavs/00000081.wav,3.224,"The major challenge faced by students in Maharashtra","Male","60+","Marathi","Maharashtra","Solapur","Graduate","Full Time","Healthcare (Medical &amp; Pharma)","3.2245"
out_wavs/00000082.wav,3.647,"Can you speak the five dates that you remember?","Female","30-45","Gujarati","Gujarat","Amreli","Post Graduate","Freelance","Education and Research","3.647"
out_wavs/00000083.wav,9.602,"Mysore has propagated the art of sandalwood carving and Chennapatna toys are very famous and are often gifted as presents for special occasions","Female","18-30","Tamil","Karnataka","Bangalore Urban","Post Graduate","Full Time","Education and Research","9.6023125"
out_wavs/00000084.wav,5.720,"and mostly those who are not able to find government jobs in both teaching and non-teaching sectors","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","5.72"
out_wavs/00000085.wav,3.970,"invest in mutual funds where risk is low.","Male","18-30","Hindi","Maharashtra","Pune","Under Graduate Student","Freelance","Financial Services (Banking and Insurance)","3.9696875"
out_wavs/00000086.wav,6.703,"The city was mostly developed by the Maharajas of Dharbhanga like Lakshmishwar Singh and Kameshwar Singh.","Male","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Full Time","Education and Research","6.703"
out_wavs/00000087.wav,1.982,"on both the sides of river","Male","30-45","Urdu","Gujarat","Ahmedabad","Graduate","Full Time","Technology and Services","1.9818125"
out_wavs/00000088.wav,3.910,"Can I avail any extra discount offers on Cereals this year?","Male","18-30","Hindi","Maharashtra","Pune","Under Graduate Student","Freelance","Financial Services (Banking and Insurance)","3.91025"
out_wavs/00000089.wav,4.068,"main medium of communication has been Gujarati","Female","30-45","Gujarati","Gujarat","Amreli","Post Graduate","Freelance","Education and Research","4.067625"
out_wavs/00000090.wav,14.170,"Stone-penetrating which is a reaction to the Indian rule in Kashmir again poses a threat to education since  youth the youth of Kashmir is involved in these activities rather than going to school.","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","14.17025"
out_wavs/00000091.wav,3.243,"What's my Fin care is Small Finance Bank account balance?","Male","45-60","Nepali","Meghalaya","Ri Bhoi","Post Graduate","Full Time","Education and Research","3.24325"
out_wavs/00000092.wav,6.423,"It was a capital of Raj, Dharbhanga, an estate established in the 16th century.","Male","30-45","Maithili","Bihar","Darbhanga","Post Graduate","Full Time","Education and Research","6.4229375"
out_wavs/00000093.wav,1.666,"define the word novel","Female","45-60","Telugu","Telangana","Hyderabad","Post Graduate","Full Time","Education and Research","1.666125"
out_wavs/00000094.wav,4.778,"We differ from other countries in terms of food, in terms of dress","Male","45-60","Tamil","Tamil Nadu","Karur","Post Graduate","Full Time","Information and Media","4.778375"
out_wavs/00000095.wav,0.780,"Forward","Female","30-45","Bengali","West Bengal","Kolkata","Post Graduate","Part Time","Education and Research","0.7803125"
out_wavs/00000096.wav,4.667,"for higher education they have to travel or shift to a","Female","30-45","Kannada","Karnataka","Gulbarga","Post Graduate","Full Time","Technology and Services","4.6668125"
out_wavs/00000097.wav,0.363,"Agree","Male","30-45","Kannada","Karnataka","Bangalore Urban","Post Graduate","Full Time","Education and Research","0.3625625"
out_wavs/00000098.wav,5.215,"Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.","Female","30-45","Kashmiri","Jammu Kashmir","Srinagar","Doctoral (PhD) or higher level","Other","Education and Research","5.21525"
out_wavs/00000099.wav,2.433,"what type of learning system do you use","Female","30-45","Malayalam","Kerala","Pathanamthitta","Post Graduate","Other","Financial Services (Banking and Insurance)","2.433125"
out_wavs/00000100.wav,4.560,"Different nations face different complex problems in various domains.","Female","45-60","Telugu","Telangana","Hyderabad","Post Graduate","Full Time","Education and Research","4.56"
out_wavs/00000101.wav,11.000,"Commonly here, the culture is followed according to the norms of Nepali people.","Female","30-45","Nepali","West Bengal","Kalimpong","Post Graduate","Other","Social service","11.0"
out_wavs/00000102.wav,0.924,"new list","Male","18-30","Assamese","Assam","Lakhimpur","Post Graduate","Full Time","Technology and Services","0.9239375"
out_wavs/00000103.wav,0.720,"Skip","Female","30-45","Nepali","West Bengal","Kalimpong","Post Graduate","Full Time","Education and Research","0.7199375"
out_wavs/00000104.wav,8.598,"Dostana was a commercial success and grossed 871 million Indian Rupees Worldwide.","Female","45-60","Konkani","Goa","North Goa","Graduate","Other","Education and Research","8.5980625"
out_wavs/00000105.wav,9.900,"by Badrinarayan Pradhan from its original book written by Meksim Gurki in his noble mother.","Female","30-45","Nepali","West Bengal","Kalimpong","Post Graduate","Other","Social service","9.9"
out_wavs/00000106.wav,2.371,"this incident was the third major attack this week.","Male","18-30","Gujarati","Gujarat","Sabarkantha","Post Graduate","Full Time","Information and Media","2.371"
out_wavs/00000107.wav,5.255,"Do I have enough money in my SBI account to make a transaction of 400 Rs ?","Female","45-60","Telugu","Andhra Pradesh","Kurnool","Post Graduate","Full Time","Technology and Services","5.25525"
